R hor pupil dist,R ver pupil dist,L hor pupil dist,L ver pupil dist,R eye height,L eye height,R iris cam dist,L iris cam dist,x head angle,y head angle,z head angle,Mouse x,Mouse y
-33.0,-2.4,20.2,3.3,22.073269081115722,20.125529479980468,0.05719571260758251,0.05786190890311875,-1.877065288772777,13.732081951974152,0.11950555419855306,9.0,9.0
-33.0,-2.4,20.3,3.3,22.215991592407228,20.05848159790039,0.0571065101389621,0.05778276985953594,-1.9092920568934173,13.708692083715945,0.11924744154308553,9.0,9.0
-33.0,-2.4,20.4,3.3,22.215991592407228,20.05848159790039,0.05712445423786816,0.05778276985953594,-1.9448187755022843,13.67996997944673,0.1174655475325657,9.0,9.0
-33.1,-2.4,20.4,3.2,22.369366073608397,20.18492889404297,0.057250234991051405,0.057682167578970156,-2.002381575699765,13.653507367830713,0.11627151936415547,9.0,9.0
-33.1,-2.5,20.5,3.1,22.215991592407228,20.32967891693115,0.057161032522431,0.05747236299830294,-2.018422061838381,13.635326477090866,0.11362072290339924,9.0,9.0
-33.1,-2.6,20.6,3.1,22.062617111206055,20.297623443603516,0.056927640521921466,0.0574015177191746,-2.034498825691559,13.626139859364557,0.11281156568971946,9.2,9.0
-33.1,-2.6,20.6,3.1,22.016597938537597,20.31634941101074,0.056927640521921466,0.05717110083257469,-2.0850967030715055,13.620620569300476,0.11331384375800405,9.6,9.0
-33.1,-2.6,20.7,3.1,21.944267082214356,20.31634941101074,0.056927640521921466,0.05717110083257469,-2.073617390145544,13.596648976540147,0.11131691633539939,10.2,9.0
-33.1,-2.6,20.6,3.1,21.944267082214356,20.249301528930665,0.05703547717619865,0.05717110083257469,-2.106947898035389,13.572512438739375,0.11001844598606163,11.0,9.0
-33.1,-2.5,20.5,3.0,21.944267082214356,20.25925178527832,0.05703547717619865,0.05717110083257469,-2.1404025599863115,13.593299176513316,0.10929237527514565,11.9,9.0
-33.1,-2.5,20.6,3.0,21.933379936218262,20.217246055603027,0.056909696423015396,0.05714235732384161,-2.1823840404768227,13.578403095267664,0.10895496173608396,13.0,9.0
-33.1,-2.6,20.6,3.0,21.78000545501709,20.341763496398926,0.056909696423015396,0.05688671469171188,-2.2301381875788935,13.571365282479292,0.10864067833919303,14.2,9.0
-33.1,-2.6,20.6,3.0,21.78000545501709,20.29203643798828,0.056909696423015396,0.05676173759666656,-2.270635651249561,13.577380580139785,0.10835048415737163,15.6,9.0
-33.1,-2.6,20.7,3.0,21.78000545501709,20.290106582641602,0.056909696423015396,0.05663676050162124,-2.273607707733028,13.562011652068401,0.10704373039913444,17.2,9.0
-33.1,-2.5,20.8,3.0,21.78000545501709,20.406902694702147,0.05701753307729259,0.056413442102870956,-2.29100557827513,13.555693344243583,0.10673722964062038,19.1,9.0
-33.1,-2.4,20.9,3.0,21.933379936218262,20.396952438354493,0.05726616211954853,0.056288465007825625,-2.331544205700786,13.539808219302206,0.10572317900325327,21.0,9.0
-33.2,-2.3,21.0,3.0,21.923941230773927,20.378226470947265,0.05726616211954853,0.05641344210287095,-2.3508409498451757,13.529467689575203,0.1039806652264543,22.9,9.0
-33.3,-2.2,21.0,2.9,21.91450252532959,20.378226470947265,0.05726616211954853,0.05666908473500069,-2.403536700371049,13.53048308309396,0.10402549723433074,24.8,9.0
-33.4,-2.1,21.1,2.9,21.91450252532959,20.321157264709473,0.05726616211954853,0.05668691526251953,-2.450695621023013,13.52802095889354,0.10454843517449501,26.7,9.0
-33.4,-2.1,21.3,2.9,21.91450252532959,20.420660972595215,0.05738752276863045,0.05646359686376924,-2.4790224351712107,13.499991445786264,0.10414228320423313,28.7,9.0
-33.3,-2.2,21.4,2.9,21.88961238861084,20.587184143066406,0.057523078793910234,0.05638961390907719,-2.499782587930212,13.489166921213485,0.1044032553626173,30.7,9.0
-33.3,-2.2,21.5,2.9,21.871723556518553,20.530114936828614,0.057523078793910234,0.05653322518977929,-2.5093436014747157,13.46763776542719,0.10398194878387904,32.9,9.0
-33.3,-2.2,21.6,2.9,21.7004602432251,20.639568901062013,0.05775310634939408,0.05655105571729814,-2.5314162023579234,13.445715931828351,0.10398501415156633,35.2,9.0
-33.3,-2.2,21.7,2.9,21.547085762023926,20.582499694824218,0.05775310634939408,0.056806698349427864,-2.568177137276516,13.446601069905801,0.10478126373377979,37.6,9.0
-33.3,-2.2,21.7,2.9,21.52919692993164,20.582499694824218,0.05775310634939408,0.056806698349427864,-2.6239097453862326,13.427564578577284,0.10550930460249071,39.9,9.0
-33.4,-2.2,21.8,2.9,21.366383743286132,20.691953659057617,0.057518001301942845,0.05695030963012997,-2.6434534700901784,13.422263998501018,0.10533121067006271,42.1,9.0
-33.4,-2.2,21.8,2.9,21.465023040771484,20.670784568786623,0.057410164647665664,0.056843163062603494,-2.6870094991660745,13.405437638338043,0.10565100017798165,44.3,9.0
-33.4,-2.2,21.8,3.0,21.563662338256837,20.77078456878662,0.0574199399197622,0.056489179126768804,-2.6890279012620875,13.38769504126518,0.10530482531842962,46.6,9.0
-33.3,-2.2,21.9,3.0,21.64416084289551,20.81105766296387,0.05766429523465635,0.05627805048169906,-2.691301154776146,13.364926188273012,0.10368308745746899,48.9,9.0
-33.3,-2.2,21.9,3.1,21.626272010803223,20.963909530639647,0.057556458580379166,0.056376391785404024,-2.7138352293451713,13.366358130789711,0.10371506963669644,51.2,9.0
-33.3,-2.1,21.9,3.1,21.63472213745117,20.906840324401855,0.05754668330828263,0.05649775243448594,-2.728403099427332,13.376125405408965,0.10234337811046068,53.5,8.9
